run,region,year,technology,mode,account,value,unit
PEP_v12,RE1,2051,ENV_LAND,7,cropland,156.6094,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2052,ENV_LAND,7,cropland,156.6094,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2053,ENV_LAND,7,cropland,156.6094,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2020,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2021,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2022,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2023,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2024,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2025,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2026,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2027,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2028,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2029,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2030,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2031,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2032,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2033,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2034,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2035,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2036,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2037,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2038,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2039,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2040,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2041,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2042,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2043,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2044,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2045,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2046,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2047,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2048,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2049,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2050,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2051,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2052,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
PEP_v12,RE1,2053,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
